#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2021 04 15 10 56  1.2  0.8 16.7  0.9  4.8  SW   W    AVERAGE  7.0 224
2021 04 15 10 26  1.2  0.8 16.7  0.9  7.7 WSW   W    AVERAGE  7.1 240
2021 04 15 09 56  1.1  0.7 15.4  0.8  9.9 WSW   W    AVERAGE  6.8 258
2021 04 15 09 26  1.1  0.7 16.7  0.9  8.3  SW   W    AVERAGE  6.1 224
2021 04 15 08 56  1.3  0.9 16.7  0.9  8.3  SW   W      SWELL  6.9 236
2021 04 15 08 26  1.3  0.9 16.7  1.0  9.9  SW WNW    AVERAGE  6.6 222
2021 04 15 07 56  1.3  0.8 16.7  1.0  8.3  SW   W    AVERAGE  6.0 236
2021 04 15 07 26  1.2  0.8 16.7  1.0  4.3  SW WNW    AVERAGE  5.9 223
2021 04 15 06 56  1.3  0.8 16.7  1.0  4.5 SSW   W    AVERAGE  6.0 210
2021 04 15 06 26  1.4  0.9 16.7  1.0  4.2  SW   W    AVERAGE  6.2 227
2021 04 15 05 56  1.3  0.8 15.4  1.0  4.8 WSW   W    AVERAGE  5.7 245
2021 04 15 05 26  1.2  0.7 16.7  1.1  4.8  SW   W    AVERAGE  5.4 224
2021 04 15 04 56  1.3  0.7 15.4  1.1  4.3  SW   W    AVERAGE  5.4 224
2021 04 15 04 26  1.3  0.7 16.7  1.1  4.3 WSW   W    AVERAGE  5.2 238
2021 04 15 03 56  1.4  0.8 16.7  1.2  4.8 WSW   W    AVERAGE  5.3 238
2021 04 15 03 26  1.4  0.8 16.7  1.2  4.5  SW   W    AVERAGE  5.4 227
2021 04 15 02 56  1.5  0.7 15.4  1.3  4.5 WSW   W    AVERAGE  5.2 241
2021 04 15 02 26  1.6  0.8 16.7  1.4  5.3  SW   W    AVERAGE  5.6 233
2021 04 15 01 56  1.5  0.8 15.4  1.3  5.3 WSW   W    AVERAGE  5.6 252
2021 04 15 01 26  1.5  0.8 16.7  1.3  5.3 WSW   W    AVERAGE  5.6 240
2021 04 15 00 56  1.5  0.8 15.4  1.3  5.3  SW   W    AVERAGE  5.7 229
2021 04 15 00 26  1.5  0.7 16.7  1.3  5.9 SSW   W    AVERAGE  5.7 213
2021 04 14 23 56  1.5  0.8 16.7  1.3  5.0 WSW   W    AVERAGE  5.8 241
2021 04 14 23 26  1.4  0.8 16.7  1.2  5.6  SW   W    AVERAGE  6.1 220
2021 04 14 22 56  1.3  0.7 15.4  1.2  5.6  SW   W    AVERAGE  5.8 230
2021 04 14 22 26  1.3  0.7 18.2  1.1  5.6  SW   W    AVERAGE  6.0 215
2021 04 14 21 56  1.2  0.7 16.7  1.0  5.6  SW   W    AVERAGE  6.2 229
2021 04 14 21 26  1.3  0.7 18.2  1.0  5.0  SW   W    AVERAGE  6.2 220
2021 04 14 20 56  1.3  0.8 18.2  1.0  5.3 SSW   W    AVERAGE  6.9 205
2021 04 14 20 26  1.2  0.7 16.7  0.9  5.6 WSW   W    AVERAGE  6.2 250
2021 04 14 19 56  1.2  0.6 18.2  1.0  5.6  SW   W    AVERAGE  5.8 224
2021 04 14 19 26  1.2  0.7 18.2  1.0  7.7 SSW   W    AVERAGE  6.2 213
2021 04 14 18 56  1.2  0.7 18.2  1.0  4.8  SW   W    AVERAGE  5.9 222
2021 04 14 18 26  1.3  0.7 16.7  1.1  7.7 WSW   W    AVERAGE  5.9 238
2021 04 14 17 56  1.3  0.8 18.2  1.0  8.3 SSW   W    AVERAGE  5.9 213
2021 04 14 17 26  1.3  0.7 18.2  1.1  4.2  SW   W    AVERAGE  5.7 223
2021 04 14 16 56  1.2  0.7 15.4  1.1  5.0  SW   W    AVERAGE  5.4 215
2021 04 14 16 26  1.3  0.6 18.2  1.1  4.2  SW   W    AVERAGE  5.2 229
2021 04 14 15 56  1.3  0.6 15.4  1.2  6.2 SSW   W    AVERAGE  5.1 205
2021 04 14 15 26  1.4  0.6 18.2  1.2  6.7  SW   W    AVERAGE  5.0 227
2021 04 14 14 56  1.4  0.6 18.2  1.2  4.8  SW WNW    AVERAGE  5.1 220
2021 04 14 14 26  1.4  0.6 16.7  1.2  5.6  SW   W    AVERAGE  5.2 226
2021 04 14 13 56  1.4  0.7 18.2  1.3  4.8  SW WNW    AVERAGE  5.1 227
2021 04 14 13 26  1.4  0.6 18.2  1.3  4.8  SW WNW VERY_STEEP  5.2 286
2021 04 14 12 56  1.4  0.6 18.2  1.3  5.3  SW   W    AVERAGE  5.2 224
2021 04 14 12 26  1.5  0.6 15.4  1.4  5.9 SSW   W VERY_STEEP  5.2 274
2021 04 14 11 56  1.5  0.6 18.2  1.4  5.3  SW   W VERY_STEEP  5.3 279
2021 04 14 11 26  1.5  0.6 15.4  1.4  5.0 WSW WNW    AVERAGE  5.3 241
2021 04 14 10 56  1.5  0.6 15.4  1.4  5.0 SSW WNW VERY_STEEP  5.4 283
2021 04 14 10 26  1.5  0.6 16.7  1.4  5.6 WSW   W    AVERAGE  5.3 248
2021 04 14 09 56  1.4  0.6 18.2  1.3  6.2 SSW   W      STEEP  5.3 262
2021 04 14 09 26  1.5  0.6 18.2  1.3  6.7 SSW   W    AVERAGE  5.5 213
2021 04 14 08 56  1.4  0.6 15.4  1.3  6.2 SSW   W    AVERAGE  5.4 213
2021 04 14 08 26  1.4  0.6 15.4  1.3  6.7  SW   W      STEEP  5.4 269
2021 04 14 07 56  1.4  0.6 18.2  1.3  5.6 SSW   W VERY_STEEP  5.5 278
2021 04 14 07 26  1.5  0.6 14.3  1.4  5.3   S WNW VERY_STEEP  5.3 283
2021 04 14 06 56  1.5  0.5 18.2  1.4  5.9  SW   W VERY_STEEP  5.2 269
2021 04 14 06 26  1.5  0.6 15.4  1.4  5.0 SSW WNW    AVERAGE  5.3 213
2021 04 14 05 56  1.5  0.6 18.2  1.4  5.3 SSW   W VERY_STEEP  5.2 275
2021 04 14 05 26  1.6  0.7 15.4  1.4  5.3  SW WNW VERY_STEEP  5.2 285
2021 04 14 04 56  1.6  0.5 15.4  1.5  5.6  SW   W VERY_STEEP  5.0 279
2021 04 14 04 26  1.6  0.6 18.2  1.5  5.3 SSW WNW VERY_STEEP  5.0 285
2021 04 14 03 56  1.5  0.5 15.4  1.4  5.0 SSW WNW VERY_STEEP  4.8 289
2021 04 14 03 26  1.5  0.5 15.4  1.4  4.8 SSW WNW VERY_STEEP  4.8 289
2021 04 14 02 56  1.5  0.5 15.4  1.4  4.8  SW WNW VERY_STEEP  4.9 289
2021 04 14 02 26  1.5  0.5 15.4  1.5  4.8  SW WNW VERY_STEEP  4.9 286
2021 04 14 01 56  1.4  0.5 15.4  1.3  4.8 SSW WNW VERY_STEEP  5.0 282
